gvkey	gvkeyx	from	thru	tic	co_conm	co_tic	co_cusip
003627	000003	19640331	19860430	I0003	CROWN ZELLERBACH	FJ1	228669008
007739	000003	19640331	19860430	I0003	NATIONAL GYPSUM CO	NGCO	636317109
008889	000003	19640331	19860531	I0003	RCA CORP	RCA.1	749285102
006928	000003	19640331	19860630	I0003	MACY (R H) & CO	4931C	556139939
009947	000003	19640331	19860831	I0003	SPERRY CORP	SY.2	848355103
001803	000003	19640331	19860930	I0003	ASSOCIATED DRY GOODS CORP	DG.2	045573102
004475	000003	19640331	19860930	I0003	EX-CELL-O CORP	XLO	300587102
004920	000003	19640331	19860930	I0003	K-H CORP	KH.1	482461910
011266	000003	19640331	19860930	I0003	WALKER (HIRAM) RESOURCES LTD	HWR.	931647101
009359	000003	19640331	19861031	I0003	SAFEWAY INC	SWY	786514208
002998	000003	19640331	19861130	I0003	CHICAGO PNEUMATIC TOOL CO	CGG.1	167898105
001301	000003	19640331	19861231	I0003	ALLIED STORES	9174A	019519008
002827	000003	19640331	19870131	I0003	CELANESE CORP-OLD	CZ.1	150843100
008215	000003	19640331	19870228	I0003	OWENS-ILLINOIS INC	OI	690768403
009111	000003	19640331	19870430	I0003	REXNORD HOLDINGS INC-OLD	FA1	76168T005
006291	000003	19640331	19870531	I0003	JOY TECHNOLOGIES INC  -CL A	JOY.1	481206100
001517	000003	19640331	19870731	I0003	AMERICAN MOTORS CORP	AMO.1	027627108
002322	000003	19640331	19870731	I0003	BURNS INTL SERVICES CORP	BOR.1	122374101
002661	000003	19640331	19870731	I0003	CAMPBELL RED LAKE MINES	CRK.1	134411107
004021	000003	19640331	19870731	I0003	DOME MINES LTD	DM.2	257075101
002489	000003	19640331	19870831	I0003	BURLINGTON INDUSTRIES INC	3BRLGQ	121693972
010320	000003	19640331	19870930	I0003	TAFT BROADCASTING CO	TFB.	873635106
002110	000003	19640331	19871130	I0003	BE HOLDINGS INC  -CL A	5372C	055382931
009746	000003	19640331	19880131	I0003	BICOASTAL CORP	5573C	088774948
010066	000003	19640331	19880131	I0003	STERLING DRUG INC	STY.1	859264103
001567	000003	19640331	19880331	I0003	TRANE INC	TT.2	892893108
004611	000003	19640331	19880430	I0003	MACY'S INC	M	55616P104
004672	000003	19640331	19880430	I0003	FIRESTONE TIRE & RUBBER CO	FIR.1	318315108
010082	000003	19640331	19880430	I0003	STEVENS (J.P.) & CO	WPM1	860163005
007495	000003	19640331	19880630	I0003	MOHASCO CORP	MOH.	608030102
006318	000003	19640331	19881031	I0003	KAISERTECH LTD	5854A	483102000
006920	000003	19640331	19881031	I0003	MACMILLAN INC	MLL.2	554790105
001414	000003	19640331	19881130	I0003	PRIMERICA INC	PRI	741587109
003746	000003	19640331	19881130	I0003	KRAFT GENERAL FOODS	MO3	500902002
009113	000003	19640331	19890131	I0003	NABISCO GROUP HOLDINGS CORP	NGH.2	62952P102
002920	000003	19640331	19890430	I0003	CHAMPION SPARK PLUG	CHM.2	158663104
003224	000003	19640331	19891215	I0003	COMBUSTION ENGINEERING INC	CSP.2	200273100
006796	000003	19640331	19901130	I0003	LONE STAR INDUSTRIES	LCE	542290408
006025	000003	19640331	19901204	I0003	FURNITURE BRANDS INTL INC	FBNIQ	360921209
008308	000003	19640331	19910109	I0003	PAN AM CORP	3PNAA.	697757102
010970	000003	19640331	19910506	I0003	USX CORP-CONSOLIDATED	MROX.CM	90399Y931
009965	000003	19640331	19910521	I0003	SQUARE D CO	SQD.1	852206101
007648	000003	19640331	19910919	I0003	NCR CORP	NCR	62886E108
010816	000003	19640331	19920131	I0003	USG CORP	USG	903293405
007515	000003	19640331	19920630	I0003	GENESIS WORLDWIDE INC-OLD	GWOW	37184G104
008617	000003	19640331	19930630	I0003	PITTSTON CO-CONSOLIDATED	PZSM.CM	72599Y937
008935	000003	19640331	19930731	I0003	RALSTON PURINA-CONSOLIDATED	RACM.CM	75199Z931
007724	000003	19640331	19930930	I0003	QUANTUM CHEMICAL CORP	CUE.1	747633105
001365	000003	19640331	19931112	I0003	AMAX INC	AMX.2	023127103
007658	000003	19640331	19931231	I0003	NL INDUSTRIES	NL	629156407
004595	000003	19640331	19940331	I0003	FEDDERS CORP	FJCC	313135501
005141	000003	19640331	19940630	I0003	GERBER PRODUCTS CO	GEB.1	373712108
010795	000003	19640331	19940712	I0003	UNITED CONTINENTAL HLDGS INC	UAL	902549500
001430	000003	19640331	19940926	I0003	AMERICAN CYANAMID CO	ACY.1	025321100
007745	000003	19640331	19940926	I0003	AVATEX CORP	AVATQ	05349F402
005109	000003	19640331	19941002	I0003	GENESCO INC	GCO	371532102
002316	000003	19640331	19941220	I0003	HEXION INC	0141A	428300107
007077	000003	19640331	19950315	I0003	MARTIN MARIETTA CORP	ML.3	572900108
003091	000003	19640331	19950521	I0003	CLARK EQUIPMENT CO	CKL	181396102
009408	000003	19640331	19950921	I0003	SANTA FE PACIFIC CORP	SFX.2	802183103
011678	000003	19640331	19951107	I0003	ZENITH ELECTRONICS CORP	ZE	989349105
002529	000003	19640331	19951126	I0003	CBS INC	CBS.1	124845108
009514	000003	19640331	19951212	I0003	SCOTT PAPER CO	SPP.3	809877103
004603	000003	19640331	19960312	I0003	FEDERAL PAPER BOARD CO	FBO	313693103
002436	000003	19640331	19960721	I0003	CALERES INC	CAL	129500104
008325	000003	19640331	19970618	I0003	PANENERGY CORP	PEL.1	697926103
004393	000003	19640331	19970805	I0003	TXU GAS CO	TXU2	873170005
