Date,AAPL,MSFT,AMZN,JNJ,FB,XOM,BRK_B,JPM,GOOGL,GOOG,GE,WFC,T,PG,BAC,PFE,CVX,CMCSA,VZ,PM,HD,MRK,UNH,V,C,KO,PEP,CSCO,INTC,DIS,ORCL,MO,IBM,AMGN,MMM,MCD,MDT,MA,ABBV,BA,WMT,CELG,HON,BMY,GILD,PCLN,SLB,UTX,UNP,SBUX,ABT,AGN,QCOM,LLY,CVS,USB,GS,TXN,TWX,UPS,ACN,DOW,NKE,DD,COST,LMT,MDLZ,NEE,CL,WBA,LOW,MS,AXP,CAT,DUK,PYPL,BIIB,MET,GD,AIG,COP,KHC,FDX,DHR,MON,BK,BLK,SPG,SO,GM,RTN,OXY,F,COF,EMR,KMI,HAL,EXC,ALL,FOXA,TGT,FOX
2006-07-12,6.8337135294,17.4733703284,34.63,43.5103179606,,47.6184041866,60.29,32.4003246261,209.270999528,,22.3832830742,25.3131916828,15.4419684254,40.9539937556,39.4518098494,14.6372515605,44.0376956283,9.06780283601,16.901695571,,25.2729030352,24.1191235354,42.8151996788,,423.827575855,15.7023098114,44.9650331495,15.362350752,12.7650489589,25.2680432476,12.9499372066,10.0878817188,59.2951392092,58.3294657327,54.664746155,23.8280145313,38.6373136666,4.34311552568,,61.4899702565,34.8677423024,24.125,29.7126085635,16.4628693624,14.6925976674,28.32,56.1747795583,49.1316563472,17.8362677246,15.4524103789,15.9002743101,22.5615251129,29.9583841138,36.0347541254,27.8309753652,23.1987299412,127.576471376,23.3392210076,34.8334243808,58.9399118434,22.7555036703,25.5155933002,8.41305890707,26.3320805523,44.5438356305,53.244360562,14.9075642024,28.997399138,23.8200823764,38.3409545312,22.9401863466,44.3489542174,43.7671783056,52.488405281,29.9049518141,,45.56,39.7445326172,54.1157064988,899.642305749,35.4184650731,,105.38888544,23.2137998289,36.0442015678,26.026188445,106.946598901,53.5342102169,19.5780759745,,32.9940013846,37.0486768903,5.51909653696,72.1015072493,29.5134023971,,32.5821163914,36.9324876423,41.5942743158,13.5906593443,38.6246627368,14.4800027468
2006-07-13,6.74209841222,17.1800893777,33.73,43.2591036537,,47.6928428362,59.9778,31.7408150597,205.04796342,,22.1192334554,25.2797282977,15.1008351024,40.9033528872,38.9725722993,14.4414988434,44.0852158795,8.90941326682,16.6086630781,,25.6187981675,24.2768507738,42.7706561918,,415.495106619,15.5329252438,45.6788806479,15.1604359557,12.6508203329,24.2488603769,12.8406550361,10.012180187,58.3210272243,57.7921511133,53.845376335,23.3769666372,38.4511292513,4.26397642829,,60.4793219564,34.1032004446,23.385,29.0175321164,16.2659450877,14.5285275527,27.11,55.496056834,47.7254530267,17.678585657,15.2683996831,15.8570180662,22.5912896579,29.1685359042,35.5553273356,27.9092499834,22.9965460457,125.187760684,22.6041274325,34.1117080926,57.9465015062,22.6024036102,24.9460185361,8.42911232058,25.8548606218,43.8822145931,53.1235122136,14.7566385035,28.879070817,23.889890498,38.1029139229,23.37491291,43.5275461559,42.9706491985,51.3033494332,30.1301088778,,45.21,38.8783353701,53.7706208341,890.48719409,34.9649836218,,103.470171274,22.7191095405,35.3990392223,25.3823742596,104.09571142,52.5774553724,19.4347343566,,33.1211026816,36.7721674282,5.26239437245,71.1402672399,28.6285018882,,32.0817233111,36.9324876423,41.383174138,13.4960408299,38.2071413978,14.2650383354
2006-07-14,6.53822251765,17.203243137,32.92,43.3954771346,,48.3106836284,59.9,31.3573792653,202.374711347,,21.7400852847,25.1979289122,15.1122062131,40.2667248267,39.2406204206,14.1573416733,45.0627753323,8.78213593444,16.5458704011,,25.4458506014,23.7576652808,42.3608561117,,412.978006537,15.3707485301,45.4801808288,15.0931310236,12.7650489589,24.0661766548,13.0136851395,10.1009337071,57.7946925228,56.682288129,53.5371730083,23.2853475337,38.0868553952,4.1905582295,,58.701188857,33.2459868464,22.54,28.2689882503,16.1215339529,14.2455660504,26.3,57.0378467264,45.6899550745,17.417803776,15.1068293161,15.8642274402,22.0059202729,29.016948874,35.3480076427,27.5526656115,23.0414758003,123.036164657,22.9716742201,33.8994385961,57.3913604355,22.860256343,25.0273863596,8.40984822437,25.9333077337,42.6625999096,53.5287096171,14.7858499291,28.9625966907,23.6610749884,37.7499571588,23.3080319003,42.9752200455,42.9874182323,50.9279590715,30.1198744658,,43.24,38.7004555783,53.8098351142,881.33208243,35.1578435493,,102.028795754,22.4735965826,35.3608388203,25.3179928411,101.911563754,51.8095337208,19.4227892218,,33.0308954115,37.0379037943,5.11799940492,70.757472546,28.3024859113,,32.1556944621,36.9260868646,41.262545465,13.169176871,37.6084315532,13.9468910067
2006-07-17,6.75758265738,17.3498836123,33.67,43.7184669578,,47.6407357815,60.14,31.2346798111,204.576508082,,21.9093478609,25.4879449156,15.2088606547,40.3824753831,39.1675163875,14.1510270695,44.0376956283,9.0055783624,16.5249395087,,25.2653835758,23.9022485826,42.4499430856,,402.7360131,15.3887681649,45.8334249517,15.1183703731,12.7364918024,24.1623259822,13.1320741575,10.0435049588,57.8968171664,56.867265293,53.1162123668,24.4693482557,38.4511292513,4.1943721619,,59.9929949549,33.2228189113,22.58,28.0780331824,16.1871753778,14.1242968352,26.25,53.443130075,45.0295825725,17.1145690306,15.3671371296,16.0336477287,22.1646645129,29.1685359042,35.5034974123,27.5265740721,23.2286831109,123.712380551,22.668048613,33.474899603,57.3986649232,22.6507509976,24.7900635412,8.44302527896,26.0575156608,43.0133387728,53.6069056072,14.7858499291,28.9904386486,23.6106580117,38.1685802976,23.3581926576,43.3363563484,42.9706491985,50.9279590715,29.976592698,,41.98,38.7391250982,53.2059352011,885.299297482,33.9589845402,,101.850963709,22.1328099395,35.1868147665,25.6318522565,103.520935718,51.5766394495,19.3929263848,,32.7452390561,35.5440344926,5.14206523284,70.6639005096,27.922731037,,30.6762714422,37.2397249745,41.5188813952,13.1519735047,37.4587540921,13.8351095128
2006-07-18,6.82597140682,17.550549526,33.49,43.4959628574,,48.0948115444,60.26,31.2193423794,202.149014643,,21.9770528914,25.3764002989,15.3453139839,40.1509742702,39.346215135,14.2583753338,44.4993209255,9.04234736953,16.5249395087,,24.9119689842,24.1125515671,43.1180953902,,404.037961419,15.6951019574,46.5178354399,15.0426523245,13.0006455001,24.5853830229,13.4052795838,10.1205116894,58.3367387079,56.5325447104,53.2590382987,24.5327768658,38.2730398105,4.18579081399,,60.1601698616,33.3386585868,22.585,28.6738129942,16.1674829504,14.3264121939,26.38,52.4962699781,45.7443378514,17.4642997702,14.9901396066,16.1129508425,21.7777254278,29.8387101427,35.6136359992,27.2569614983,23.2736128655,125.003338168,22.452314629,33.8145307975,57.6835399464,22.5540562228,24.5866439826,8.40128640383,25.9921430676,42.1524342903,52.9884464125,14.7663756453,28.9208337538,23.6067797827,38.3163296407,23.1742698808,43.8745202508,42.719113691,51.3548736005,30.0994056418,,41.12,38.3988333225,53.6059208578,890.792364478,34.099720163,,101.457861294,22.129145567,35.8913999597,25.6157569018,98.0720620661,52.0172502331,19.512377733,,32.7753081461,35.9641852337,5.16613106076,70.5192891808,27.9513917822,,29.6319728399,37.25252653,41.7902959095,13.1949819204,35.8674463473,13.8695038186
2006-07-19,6.98081385839,18.0599322299,34.48,44.0055690229,,48.1320308692,60.6,33.0138218971,200.117744306,,22.2614140194,26.3356840025,15.6182206424,41.1999636881,40.5727383566,14.7130268059,44.7980196472,9.22902079036,16.9121610172,,25.8293430307,24.5265855679,45.3719958311,,410.113720237,15.7924079856,46.1204358016,15.1436097226,13.2005455956,24.7199920813,13.7240192478,10.1100700988,59.7586279762,56.867265293,53.386829922,24.7301103195,38.7101684378,4.31737148195,,62.5310139941,34.1340910247,23.29,29.2084871843,16.7713840593,14.5594393134,27.52,53.8285775481,47.4457661784,17.6684778322,15.1876144996,16.6824913868,21.8570975478,29.3041664048,36.332776184,27.9255571955,23.6255626096,129.069415558,22.5322161045,34.2390697905,58.7646041369,23.2953828296,25.2240252662,8.43339323085,26.3713041083,42.8778260302,53.5784707017,14.7225585069,29.2340557801,24.1497318395,39.0632846529,24.0186426289,45.2128489027,43.6833331364,52.5746165319,30.4371412372,,42.01,40.5333908245,53.3235780413,905.440543134,34.3447043953,,105.248491721,22.9536293809,36.9185663256,27.4264842983,100.325182817,53.4083214216,19.7751706991,,33.421793582,36.2299215999,5.07788969171,73.0457341611,28.8649530363,,29.7189977235,37.5085576402,42.3331249381,13.2035836035,36.0171238084,13.9124967009
2006-07-20,7.80664026678,17.6354466433,34.18,44.0486343326,,47.8268324056,60.54,32.9601408859,194.159351317,,21.9905938975,26.3208113869,15.5215662008,41.1781416734,40.3290582463,14.9719255608,44.3431829573,9.18942339806,16.8755319556,,25.5511230329,24.5134416313,44.7305696187,,408.898568473,15.7996158396,45.9806100029,15.0426523245,12.2110401226,24.6046128884,13.7695534856,10.3228175073,59.2951392092,56.3035253645,53.4469671565,24.434110139,38.8154031073,4.34311552568,,61.3151964903,34.2035948299,23.02,27.9710983444,16.8304613417,14.1124076964,26.64,51.6667199816,46.8087016907,16.9831673075,14.9946276723,16.6572585779,21.4999230078,28.6020791074,36.4493935113,27.9081418184,23.7678401657,127.497433154,22.4123638912,34.090481143,57.6835399464,22.7232720787,25.0884122271,8.51901143624,26.1686490693,42.527087167,53.848602304,14.7225585069,29.5751197642,24.219539961,38.7021195921,23.5915328751,44.8517125998,43.423413112,51.0665707258,30.6315950649,,41.39,40.6339315764,53.2765209052,908.034491437,33.5836895461,,101.205152599,23.2687654165,35.8022656883,27.1045772056,98.6391740918,52.9236495596,19.9005946147,,33.3992417645,35.7307681553,4.96558249474,73.3009306238,28.0982781015,,28.4397319357,37.6237716398,43.1021327286,13.0487533072,36.5922003696,13.7319265954
2006-07-21,7.83502804957,18.4226744585,33.19,44.3070261912,,47.5886287267,60.132,33.090509056,195.657977433,,21.8348723274,26.4695375425,15.5443084224,40.7853454095,40.7270690931,15.0477008062,43.7525741212,9.10740022831,16.6766884783,,25.4533700608,24.5528734409,44.5434869734,,407.336230491,15.8212394014,46.1866690747,14.689301431,12.2438808526,24.056561722,13.7695534856,10.3985190392,58.8080832168,58.267806678,53.1613152927,24.455253009,38.7020734632,4.31737148195,,60.0917801271,33.7634040633,22.99,27.657932033,16.7451274894,14.1980094954,26.18,51.4907548308,46.5833983962,16.7870755055,15.1651741708,16.8843538582,21.2518851328,27.4771437784,35.4063163063,27.8558956871,23.8202582127,125.047248291,21.573398398,33.9843463947,57.5082322398,22.4976509375,24.7629409334,8.56824190434,26.1555745506,41.8973514807,53.7632975875,14.6008442335,29.8604998325,24.0721672599,38.2096217818,23.5412846687,44.2639809696,42.4424246327,50.5269268835,30.7339391847,,40.73,40.5411247285,52.8922209605,902.694009636,33.1666951081,,101.542097526,22.9646224985,34.8175442135,26.6458595985,96.7309187621,52.2438500647,20.0260185304,,33.7976572075,35.7523143472,5.03777997851,66.0958838281,27.2814468626,,26.1422750106,37.6685770841,42.7100895413,12.8079061796,36.3007232085,13.4223778431
2006-07-24,7.92535281299,18.5230074153,34.31,44.4864649818,,48.6531014168,60.6,33.8957242242,196.055203632,,22.0853809401,26.350556618,15.7944728593,41.3890878152,41.0763439178,15.653902769,44.9881006519,9.26296141233,17.0534445405,,26.024848975,25.5978163952,45.2561827649,,411.936447882,15.8572786711,46.6208649758,15.1015441401,12.4794773938,24.8161414087,13.6420576199,10.3750254603,59.6957820417,58.9020140977,53.8904792609,24.5539197359,38.6130287428,4.29067395512,,61.8851109452,34.3117118603,23.8,28.3606466828,17.0405139014,14.3644574379,27.09,54.0213012847,47.7409911849,17.2682079682,15.5780762199,17.1438913214,21.4602369478,28.2271006644,36.2874250012,28.4393108203,23.9550474764,129.32582916,22.2445707926,34.4301123374,58.4359021871,22.7313299766,25.3731996092,8.63031510325,26.5216610727,42.5350585048,54.5808011209,14.8491413512,29.9509861956,24.2040270451,38.8909104193,24.1610125469,45.4748497499,42.4759627004,52.1310736477,30.7748768327,,41.2,40.6339315764,53.3392637533,913.06980285,34.2873676601,,103.36721588,23.4776346494,35.6961534604,27.3057691385,98.8614206965,53.0621272344,20.0319910978,,33.8427608426,37.1097244339,5.10195551964,66.1128969256,27.4605765202,,27.064738776,38.1230323046,43.1247506048,13.1175667722,36.3795008196,13.7835180541
2006-07-25,7.99090278415,18.6928016499,33.59,44.4290445688,,48.9359682855,60.5,34.2254790074,195.282819356,,22.1395449645,26.2873480019,16.4596828393,41.3745398054,41.271288006,15.7612510332,45.449725949,9.21770724971,17.2313571255,,26.498574917,25.8081193797,45.8708828852,,411.849651328,15.9473768454,46.1572320644,15.2025015382,12.5223131286,24.9026758034,13.5965233822,10.4481165945,59.6172246236,59.7476239905,51.1993380173,24.4975387491,39.9244146247,4.39365013004,,63.6404474664,34.497055341,24.295,28.8113006431,16.994564904,14.7163759449,26.85,55.1441265324,48.1915977738,17.0296633018,15.8877527566,17.3313350449,21.4304724028,27.3494915425,35.9894029426,28.8398644938,23.8801645522,130.72561179,23.1314771712,34.5362470857,52.4462222129,23.1906301569,25.4884706924,8.60034873136,26.5870336659,43.045224124,55.7821758785,15.8520669638,30.0832354956,23.6426838507,39.3505750423,24.5462487955,46.0059325483,42.6268840049,52.2345669874,31.0716747802,,41.55,40.7035367123,54.4137350273,914.595654793,35.1578435493,,102.309583193,23.5875658246,36.8124540977,27.45967291,100.294528113,53.1691327105,20.1992229853,,34.5193153686,37.3467325442,5.28646020038,66.6317963997,27.6826972957,,27.3693258683,38.1998416377,43.3433900746,13.3068038011,36.6552224586,13.9382924302
